ENSEMBL	ENTREZID	SYMBOL	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000040111	235283	Gramd1b	GRAM domain containing 1B	2314.26712419707	-1.94454094827493	0.0672271378808269	-28.9134576464757	8.08774083956249e-184	1.58074894709249e-179
ENSMUSG00000031431	14605	Tsc22d3	TSC22 domain family, member 3	1628.32388995164	-2.45350841213991	0.088710850380505	-27.6307959568532	4.74848279929809e-168	4.64045481561406e-164
ENSMUSG00000018796	14081	Acsl1	acyl-CoA synthetase long-chain family member 1	13370.7980643984	-1.58680919619457	0.0600416117333352	-26.4274940041072	6.62110095028387e-154	4.31364726910994e-150
ENSMUSG00000040181	14261	Fmo1	flavin containing monooxygenase 1	2665.52863880753	-1.9576772249804	0.0773702938849104	-25.2939298331936	3.72528048763479e-141	1.82026517827055e-137
ENSMUSG00000041020	78283	Map7d2	MAP7 domain containing 2	539.208774544563	-3.4693380129296	0.137324672629306	-25.0738703463399	9.58921384171878e-139	3.74842369072787e-135
ENSMUSG00000024222	14229	Fkbp5	FK506 binding protein 5	7147.21840954229	-2.3633354626388	0.0956987425081626	-24.6873553470342	1.46218048512131e-134	4.76305293028268e-131
ENSMUSG00000059811	56298	Atl2	atlastin GTPase 2	3258.1335522522	-1.81334790766854	0.0744542812692899	-24.348996799248	5.94091385441034e-131	1.65878801834929e-127
ENSMUSG00000030747	67800	Dgat2	diacylglycerol O-acyltransferase 2	10578.835181439	-2.47709815490521	0.105244528606782	-23.5286107426433	2.0788457397709e-122	5.07887999797778e-119
ENSMUSG00000035686	21835	Thrsp	thyroid hormone responsive	4153.26356311169	-3.44153018219513	0.149075172777174	-23.0614969684168	1.12784344507355e-117	2.44930001488473e-114
ENSMUSG00000066441	17252	Rdh11	retinol dehydrogenase 11	1746.64305657537	-1.72352210814859	0.0751478714774283	-22.9253854184982	2.59423738207163e-116	5.070436963259e-113
ENSMUSG00000001467	13121	Cyp51	cytochrome P450, family 51	5426.10973262113	-1.8562730683679	0.0850822609049773	-21.8139398525367	1.7108967958122e-105	3.03995253401358e-102
ENSMUSG00000002289	57875	Angptl4	angiopoietin-like 4	47040.5782713122	1.3492339383761	0.0619446856396346	21.7814279004088	3.48054276708109e-105	5.66893403188333e-102
ENSMUSG00000039428	72759	Tmem135	transmembrane protein 135	3593.48840596966	-1.18220237016547	0.0558397169971535	-21.1696205251965	1.8201702390195e-99	2.73655594781817e-96
ENSMUSG00000032279	67834	Idh3a	isocitrate dehydrogenase 3 (NAD+) alpha	9427.13171082025	-1.20685517234432	0.0577516244275777	-20.8968943765141	5.71439129701354e-97	7.97769842143783e-94
ENSMUSG00000020917	104112	Acly	ATP citrate lyase	35316.4203575835	-1.86509058797126	0.0893620913170374	-20.8694226927468	1.01552705746903e-96	1.32323175588215e-93
ENSMUSG00000043122	319942	A530016L24Rik	RIKEN cDNA A530016L24 gene	2366.50953333425	-1.81081840986906	0.0867773326291128	-20.8596919135476	1.24470730556968e-96	1.52048776795996e-93
ENSMUSG00000020101	74048	Vsir	V-set immunoregulatory receptor	3260.54257447159	1.70564684359352	0.0819306861273247	20.8151098125301	3.15820963870341e-96	3.63101219932107e-93
ENSMUSG00000041417	18708	Pik3r1	phosphoinositide-3-kinase regulatory subunit 1	4717.32831711658	-2.16290778354921	0.106266961762343	-20.3445088896854	5.19295839781531e-92	5.63868732696112e-89
ENSMUSG00000021950	11752	Anxa8	annexin A8	1798.87472393776	1.62154388683766	0.0798897889026675	20.2849130313492	1.7477175541481e-91	1.79784945241183e-88
ENSMUSG00000032418	17436	Me1	malic enzyme 1, NADP(+)-dependent, cytosolic	13443.6307014582	-1.64414584206526	0.0811247010116148	-20.2653776421999	2.59958656419809e-91	2.54044596986258e-88
ENSMUSG00000007480	17203	Mc5r	melanocortin 5 receptor	545.155495152153	-2.36119723253151	0.116643317523415	-20.1846605351647	1.33541757838735e-90	1.24289221759909e-87
ENSMUSG00000025153	14104	Fasn	fatty acid synthase	79567.5435470167	-2.77034631327364	0.138737337502839	-19.9512214018857	1.46271178446213e-88	1.29948644669602e-85
ENSMUSG00000037035	16324	Inhbb	inhibin beta-B	1936.94626475906	1.69457930700047	0.0850072966622631	19.9296786641899	2.25001969806745e-88	1.91202760864036e-85
ENSMUSG00000029816	93695	Gpnmb	glycoprotein (transmembrane) nmb	1717.22772600514	2.22626846958713	0.112564191961151	19.762260781172	6.29224375017751e-87	4.91927616388878e-84
ENSMUSG00000038393	56338	Txnip	thioredoxin interacting protein	46421.2746496838	1.17997884088947	0.0597067766052278	19.763329323856	6.16042974596909e-87	4.91927616388878e-84
ENSMUSG00000027611	19124	Procr	protein C receptor, endothelial	954.878360428008	2.00735985168763	0.102068775562742	19.6382238196996	7.29037529439469e-86	5.48039942803631e-83
ENSMUSG00000028551	12580	Cdkn2c	cyclin dependent kinase inhibitor 2C	1928.54893767391	-1.71351477624752	0.0873609419930742	-19.6069116177828	1.34983623322227e-85	9.7713145104923e-83
