ENSEMBL	ENTREZID	SYMBOL	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000001627	15982	Ifrd1	interferon-related developmental regulator 1	6104.25487233427	-2.83277089261407	0.0573304419821036	-49.3953053919304	0	0
ENSMUSG00000028341	18124	Nr4a3	nuclear receptor subfamily 4, group A, member 3	708.330335953131	-6.6792728557578	0.154496899144225	-40.5654287796438	0	0
ENSMUSG00000023034	15370	Nr4a1	nuclear receptor subfamily 4, group A, member 1	786.452316414941	-4.63343382182501	0.126063525776128	-36.3467648894693	2.95583396067031e-289	2.02297276268276e-285
ENSMUSG00000026628	11910	Atf3	activating transcription factor 3	2044.13265549035	-3.33125370077031	0.0943178099316342	-35.2622017645943	2.23067238622042e-272	1.14500413584694e-268
ENSMUSG00000029167	19017	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	731.193278767446	-3.19738616748971	0.0906645021130642	-35.1017969112341	6.32840528884803e-270	2.59869634781256e-266
ENSMUSG00000026819	227731	Slc25a25	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25	1357.95456687004	-2.71501220434452	0.0788232633768302	-34.3924009910835	3.27541796261556e-259	1.12084802680704e-255
ENSMUSG00000056952	381801	Tatdn2	TatD DNase domain containing 2	2566.20562168031	-1.98817719288736	0.0582947166667969	-34.0918885049323	9.72848723804325e-255	2.8535042853072e-251
ENSMUSG00000021699	238871	Pde4d	phosphodiesterase 4D, cAMP specific	808.523121100149	-3.31861101702427	0.0973489785126611	-33.954730051927	1.03863980421463e-252	2.66566905751686e-249
ENSMUSG00000028680	12795	Plk3	polo like kinase 3	720.6328136666	-3.39418781602464	0.102636150366906	-32.9098532896693	1.58877077309052e-237	3.62451572367718e-234
ENSMUSG00000025190	14718	Got1	glutamic-oxaloacetic transaminase 1, soluble	1505.78987176935	-2.0867535081246	0.0638189757975621	-32.6730699661439	3.7692805696256e-234	7.73908686555528e-231
ENSMUSG00000021950	11752	Anxa8	annexin A8	1798.87472393776	2.76056681125174	0.0846718002790475	32.5464261610551	2.35234545753153e-232	4.39075972127613e-229
ENSMUSG00000032515	215418	Csrnp1	cysteine-serine-rich nuclear protein 1	951.644976404005	-2.90649149926038	0.0904895138609016	-32.0436523013336	2.69112013846863e-225	4.60450655691983e-222
ENSMUSG00000066361	16625	Serpina3c	serine (or cysteine) peptidase inhibitor, clade A, member 3C	3902.34202785369	3.09806616759026	0.0973091019262471	31.7985793938939	6.77246685926456e-222	1.06963299657246e-218
ENSMUSG00000040010	20539	Slc7a5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	1603.23699970053	-2.51563701426344	0.081035822137011	-31.0120523756646	3.70822747670908e-211	5.43838046798507e-208
ENSMUSG00000026826	18227	Nr4a2	nuclear receptor subfamily 4, group A, member 2	384.764949215877	-4.00561803639213	0.129113761714788	-30.5777060432291	2.42240637725167e-205	3.31578984918208e-202
ENSMUSG00000042406	11911	Atf4	activating transcription factor 4	6887.20980834918	-1.62055516688397	0.0530622060671641	-30.5373128437796	8.33443768130261e-205	1.06951671545316e-201
ENSMUSG00000024843	12660	Chka	choline kinase alpha	1210.85953536807	-2.0405052510581	0.0675539244689486	-30.1777597745533	4.63870140459224e-200	5.60245983759341e-197
ENSMUSG00000039384	63953	Dusp10	dual specificity phosphatase 10	1641.32124924448	-2.40889517034426	0.0828735056011317	-29.0400213515275	2.05684568165997e-185	2.3461753075468e-182
ENSMUSG00000019987	11846	Arg1	arginase, liver	426.022371677584	-3.30026757752188	0.114655687601428	-28.570869254541	1.54658048243984e-179	1.67128370870814e-176
