ENSEMBL	ENTREZID	SYMBOL	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000020908	17883	Myh3	myosin, heavy polypeptide 3, skeletal muscle, embryonic	7110.85817944815	2.89939644685598	0.141694786498139	20.4511037796151	5.87311839495578e-93	9.15736620141505e-89
ENSMUSG00000063821	435391	Dupd1	dual specificity phosphatase and pro isomerase domain containing 1	1657.81806902963	2.19131007232662	0.121041832605735	18.0729887691462	5.20178567723653e-73	4.0553121139736e-69
ENSMUSG00000042045	66402	Sln	sarcolipin	5449.44447968352	2.35293830063736	0.134831298911322	17.4428939570909	3.89824981107513e-68	2.02605036847611e-64
ENSMUSG00000039824	216459	Myl6b	myosin, light polypeptide 6B	4574.03348212235	1.88750162558657	0.125611017454129	15.0212485229777	5.32943491136236e-51	2.07741372844905e-47
ENSMUSG00000036782	67455	Klhl13	kelch-like 13	692.904683943864	1.87824769200304	0.130488376105516	14.3521812865429	1.03238327039281e-46	3.21938399039292e-43
ENSMUSG00000031097	21953	Tnni2	troponin I, skeletal, fast 2	81808.9258360468	-1.12847795695274	0.0831119574592481	-13.5777572356107	5.4262657019635e-42	1.41010558041692e-38
ENSMUSG00000033685	22228	Ucp2	uncoupling protein 2 (mitochondrial, proton carrier)	1038.34429823646	1.6623439734887	0.127559877229296	13.0139534870527	1.01929133355368e-38	2.27039863896699e-35
ENSMUSG00000014846	67971	Tppp3	tubulin polymerization-promoting protein family member 3	4666.24819710997	1.63532809512364	0.126733668286269	12.9005804314103	4.46719691674548e-38	8.70656679073693e-35
ENSMUSG00000061723	21957	Tnnt3	troponin T3, skeletal, fast	228254.904282791	-1.08139974274897	0.0845100147234392	-12.7961137890979	1.72363399635746e-37	2.98610014124506e-34
ENSMUSG00000030672	17907	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle	45086.1733285511	-1.01438248542678	0.085454847347253	-11.8703281716004	1.68804160137023e-32	2.63199446485646e-29
