NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.71547985	-3.1989675	0.0	0.0	0.0	2738	tags=72%, list=18%, signal=87%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	196	-0.6783406	-3.0409992	0.0	0.0	0.0	2618	tags=63%, list=18%, signal=75%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.7414005	-2.7698174	0.0	0.0	0.0	1368	tags=61%, list=9%, signal=67%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.59215295	-2.649741	0.0	0.0	0.0	3426	tags=58%, list=23%, signal=74%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.42007694	-1.9008594	0.0	0.0	0.0	3134	tags=35%, list=21%, signal=43%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	146	-0.4183587	-1.7968333	0.0	8.581738E-4	0.009	3145	tags=30%, list=21%, signal=38%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	161	-0.33523032	-1.44259	0.012987013	0.033339545	0.332	1760	tags=23%, list=12%, signal=26%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	96	-0.35214236	-1.4281307	0.026104419	0.034775227	0.384	2672	tags=29%, list=18%, signal=35%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	-0.41141924	-1.3121941	0.10458715	0.0832833	0.732	1051	tags=31%, list=7%, signal=33%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	198	-0.28184095	-1.2833617	0.037037037	0.09382055	0.808	5371	tags=45%, list=36%, signal=70%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	172	-0.26322562	-1.1620588	0.14122137	0.22395046	0.989	2618	tags=27%, list=18%, signal=33%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	92	-0.27457958	-1.0967298	0.27091634	0.32269552	1.0	1649	tags=18%, list=11%, signal=21%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	37	-0.32152164	-1.0915258	0.33466935	0.30740836	1.0	1627	tags=22%, list=11%, signal=24%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	167	-0.23937286	-1.05603	0.31843576	0.35589594	1.0	2003	tags=21%, list=14%, signal=24%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	99	-0.2067922	-0.8415636	0.8346154	0.8322527	1.0	3458	tags=25%, list=23%, signal=33%	
