NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	177	0.7348089	3.2829025	0.0	0.0	0.0	2007	tags=58%, list=14%, signal=66%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	187	0.5400679	2.4187	0.0	0.0	0.0	1555	tags=32%, list=10%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	145	0.44376108	1.9241607	0.0	0.0	0.0	3398	tags=43%, list=23%, signal=56%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	187	0.42581862	1.8993568	0.0	3.2407406E-4	0.001	1320	tags=28%, list=9%, signal=31%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.4568767	1.7815833	0.0	0.0036451113	0.013	2165	tags=41%, list=15%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	0.44273287	1.7708263	0.0	0.003270926	0.014	3248	tags=41%, list=22%, signal=52%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	195	0.37662792	1.6962242	0.0	0.0054641236	0.026	936	tags=18%, list=6%, signal=19%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	30	0.50297004	1.6122862	0.002020202	0.0117206685	0.059	2410	tags=43%, list=16%, signal=52%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	175	0.35056725	1.5593805	0.0	0.0186665	0.107	1159	tags=20%, list=8%, signal=21%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	193	0.3341216	1.4874034	0.002352941	0.03530083	0.212	2595	tags=32%, list=17%, signal=38%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	145	0.3401164	1.4607238	0.0061728396	0.042518217	0.276	2337	tags=27%, list=16%, signal=32%	
