NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_DNA_REPLICATION	WP_DNA_REPLICATION	Details ...	41	-0.79298294	-2.6858995	0.0	0.0	0.0	1344	tags=68%, list=9%, signal=75%	
WP_RETINOBLASTOMA_GENE_IN_CANCER	WP_RETINOBLASTOMA_GENE_IN_CANCER	Details ...	86	-0.65587	-2.6062977	0.0	0.0	0.0	2230	tags=59%, list=15%, signal=69%	
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	Details ...	118	-0.5884383	-2.4333494	0.0	0.0	0.0	2722	tags=45%, list=18%, signal=55%	
WP_PYRIMIDINE_METABOLISM	WP_PYRIMIDINE_METABOLISM	Details ...	77	-0.62116605	-2.3909671	0.0	0.0	0.0	2190	tags=48%, list=15%, signal=56%	
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	Details ...	80	-0.596336	-2.3536663	0.0	0.0	0.0	2656	tags=51%, list=18%, signal=62%	
WP_G1_TO_S_CELL_CYCLE_CONTROL	WP_G1_TO_S_CELL_CYCLE_CONTROL	Details ...	63	-0.6061658	-2.2493742	0.0	0.0	0.0	1573	tags=49%, list=11%, signal=55%	
WP_BASE_EXCISION_REPAIR	WP_BASE_EXCISION_REPAIR	Details ...	31	-0.6833206	-2.2328756	0.0	0.0	0.0	1833	tags=45%, list=12%, signal=51%	
WP_CELL_CYCLE	WP_CELL_CYCLE	Details ...	117	-0.52284545	-2.1868606	0.0	0.0	0.0	2247	tags=40%, list=15%, signal=47%	
WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY	WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY	Details ...	21	-0.7136487	-2.1252346	0.0	8.333333E-5	0.001	2113	tags=52%, list=14%, signal=61%	
WP_GASTRIC_CANCER_NETWORK_1	WP_GASTRIC_CANCER_NETWORK_1	Details ...	23	-0.70028555	-2.0936108	0.0	1.4595436E-4	0.002	1605	tags=65%, list=11%, signal=73%	
WP_DNA_MISMATCH_REPAIR	WP_DNA_MISMATCH_REPAIR	Details ...	23	-0.69277704	-2.0681534	0.0	3.2090908E-4	0.005	1833	tags=61%, list=12%, signal=69%	
WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM	WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM	Details ...	54	-0.56583107	-2.0647752	0.0	2.9416665E-4	0.005	4125	tags=59%, list=28%, signal=82%	
WP_PURINE_METABOLISM_AND_RELATED_DISORDERS	WP_PURINE_METABOLISM_AND_RELATED_DISORDERS	Details ...	22	-0.68988496	-2.05844	0.0	3.8454903E-4	0.007	2448	tags=59%, list=17%, signal=71%	
