sample	fq	lane	read	group	weight
E504	NG-27882_E504_lib495364_7569_1_1.fastq	1	1	ko	38.1
E504	NG-27882_E504_lib495364_7569_1_2.fastq	1	2	ko	38.1
E506	NG-27882_E506_lib495365_7569_1_1.fastq	1	1	ko	29.6
E506	NG-27882_E506_lib495365_7569_1_2.fastq	1	2	ko	29.6
E508	NG-27882_E508_lib498676_7569_1_1.fastq	1	1	ko	32.4
E508	NG-27882_E508_lib498676_7569_1_2.fastq	1	2	ko	32.4
E511	NG-27882_E511_lib498677_7569_1_1.fastq	1	1	wt	31.2
E511	NG-27882_E511_lib498677_7569_1_2.fastq	1	2	wt	31.2
E515	NG-27882_E515_lib495368_7569_1_1.fastq	1	1	wt	40.3
E515	NG-27882_E515_lib495368_7569_1_2.fastq	1	2	wt	40.3
E538	NG-27882_E538_lib495369_7569_2_1.fastq	2	1	wt	36.6
E538	NG-27882_E538_lib495369_7569_2_2.fastq	2	2	wt	36.6
