ID	Description	NES	pvalue	p.adjust	SYMBOL	ENTREZID	log2FoldChange
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp6v1g2	66237	-0.245878678870291
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox17	12856	-0.248879679793331
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox4i2	84682	-0.25463166300329
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ppa1	67895	-0.255506800723851
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcr11	66594	-0.262336045310095
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa7	66416	-0.267322243987959
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Sdhc	66052	-0.273613069839089
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Lhpp	76429	-0.280478921960453
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa11	69875	-0.289379906807744
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5b	11947	-0.290847211623687
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa2	17991	-0.30159222095148
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5e	67126	-0.303732976856487
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox10	70383	-0.304057161765361
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufv1	17995	-0.307346192107155
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa3	66091	-0.310159984764346
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs8	225887	-0.31043911506236
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb2	68198	-0.312552113049454
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Sdhd	66925	-0.321493093400856
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5h	71679	-0.327345610465185
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox6a2	12862	-0.330283164778015
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufv3	78330	-0.346643417657936
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb7	66916	-0.349679774709962
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox7a2	12866	-0.350742755773788
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox7a1	12865	-0.351677244315
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa1	54405	-0.353935399216346
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa8	68375	-0.355936720577881
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa6	67130	-0.359647552589363
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs6	407785	-0.365848043032186
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs5	595136	-0.36902516661018
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcrq	22272	-0.37110492526613
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb10	68342	-0.379896507086492
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5g1	11951	-0.385642127894963
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb9	66218	-0.389758764481075
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cyc1	66445	-0.390533371144852
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox5b	12859	-0.391543633298244
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5c1	11949	-0.392804497666879
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcrc1	22273	-0.3947133617254
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb11	104130	-0.398299165041894
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox4i1	12857	-0.39915018455778
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5j2	57423	-0.401526869782204
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcr10	66152	-0.402859104092597
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb6	230075	-0.405102626264601
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5k	11958	-0.406181585206862
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb5	66046	-0.409845269078734
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox5a	12858	-0.412599015127307
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufab1	70316	-0.417030151199042
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox6b1	110323	-0.417071999095262
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb8	67264	-0.419329834135086
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5a1	11946	-0.421198970800018
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs3	68349	-0.422673569760012
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Sdha	66945	-0.424641771648936
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcrc2	67003	-0.429439658976352
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5g3	228033	-0.439505177607669
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs2	226646	-0.44042322829285
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5o	28080	-0.442242043310884
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs1	227197	-0.445837652633236
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5pb	11950	-0.449450598169862
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	ND4L	17720	-0.451307987275478
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa10	67273	-0.462084916308589
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufc2	68197	-0.463601181785966
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcrh	66576	-0.464933711969473
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Uqcrfs1	66694	-0.468101004226122
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufc1	66377	-0.475218731069268
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb4	68194	-0.47730445774583
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb4c	100041273	-0.0571136904167651
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb4c	100041273	-0.47730445774583
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufb4b	100042503	-0.47730445774583
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufa9	66108	-0.480366854773059
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Atp5l	27425	-0.482028771115535
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Ndufs4	17993	-0.488912179257536
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Cox6c	12864	-0.490770989425019
mmu00190	Oxidative phosphorylation	-3.32620210164153	1e-10	6.14e-09	Sdhb	67680	-0.510217632319684
