#	Transcription Factor	Occurrence	Importance
1	PAX	6.65%	0.18802
2	MINI20	10.25%	0.17168
3	WT1	11.63%	0.15416
4	NFAT	6.93%	0.13418
5	ZIC1	10.80%	0.12626
6	TAL1BETAE47	8.31%	0.12361
7	NF1	9.14%	0.11427
8	GLI	7.76%	0.09501
9	RP58	7.76%	0.09075
10	MUSCLE_INI	9.42%	0.08712
11	SMAD	11.63%	0.08144
12	ZIC2	10.25%	0.07943
13	SZF11	4.71%	0.07652
14	MYOD	13.57%	0.07465
15	T3R	10.53%	0.07368
16	VJUN	3.32%	0.07251
17	SP3	8.86%	0.07091
18	SREBP	6.09%	0.07084
19	XFD1	3.05%	0.06704
20	TAL1	9.42%	0.06593
21	TAL1BETAITF2	8.59%	0.06333
22	SREBP1	8.86%	0.06205
23	MAZ	8.86%	0.06205
24	R	4.71%	0.06051
25	PBX	3.88%	0.05866
26	SMAD4	6.37%	0.05654
27	GRE	2.49%	0.05298
28	MZF1	8.86%	0.04875
29	HIC1	12.19%	0.04875
30	NERF	5.26%	0.04868
31	NGFIC	4.99%	0.04555
32	MYOGENIN	9.42%	0.04474
33	HNF4	14.96%	0.04437
34	CDPCR3HD	3.60%	0.04141
35	SOX9_B1	3.88%	0.04112
36	FREAC3	2.49%	0.04082
37	HSF1	8.03%	0.03916
38	HOXA4	2.22%	0.0385
39	LFA1	6.37%	0.03823
40	NFKB	5.82%	0.03781
41	LRF	6.65%	0.03657
42	ATF3	3.88%	0.03551
43	MAZR	8.86%	0.03546
44	HAND1E47	4.71%	0.03473
45	TBX5	7.76%	0.03393
46	STAT3	6.09%	0.03352
47	HELIOSA	4.43%	0.03324
48	HSF	6.37%	0.03186
49	CDPCR1	3.32%	0.03096
50	PPARA	4.71%	0.02943
51	STAT	5.26%	0.02895
52	FOX	2.77%	0.02808
53	NRF2	6.65%	0.02729
54	MAF	5.26%	0.025
55	HP1SITEFACTOR	2.77%	0.02488
56	ROAZ	4.16%	0.02376
57	CMAF	2.77%	0.02147
58	MOVOB	3.05%	0.02133
59	NKX3A	1.39%	0.02097
60	P53_DECAMER	3.05%	0.02019
61	SRF	6.93%	0.01991
62	STAT5B	3.60%	0.01981
63	MIF1	3.60%	0.01981
64	CHOP	3.32%	0.01955
65	MEF2	6.65%	0.01911
66	COUPTF	4.16%	0.01896
67	FOXM1	1.94%	0.01588
68	COMP1	2.49%	0.01461
69	VDR	5.82%	0.01446
70	HFH1	1.66%	0.01424
71	FREAC2	2.22%	0.01357
72	ETS2	4.16%	0.0135
73	ZID	3.60%	0.01328
74	ETS	5.82%	0.01309
75	MTF1	4.16%	0.01278
76	LBP1	6.65%	0.01247
77	GEN_INI2	1.66%	0.01163
78	USF	5.82%	0.01104
79	EBOX	4.16%	0.01039
80	E47	9.70%	0.0097
81	TBP	2.22%	0.00955
82	GEN_INI	2.49%	0.00935
83	MEF3	2.49%	0.00904
84	HNF3ALPHA	2.22%	0.00886
85	NFKAPPAB50	4.16%	0.00831
86	LMO2COM	8.31%	0.00831
87	FOXD3	1.39%	0.00762
88	ETS1	5.54%	0.00762
89	PAX9	3.05%	0.00736
90	LEF1	3.05%	0.00724
91	COREBINDINGFACTOR	1.94%	0.00679
92	NRSE	2.22%	0.00637
93	LUN1	1.94%	0.00587
94	PPAR_DR1	1.66%	0.00553
95	CDP	1.11%	0.0054
96	MYOGNF1	3.88%	0.00527
97	TITF1	0.83%	0.005
98	FXR_IR1	1.94%	0.00456
99	NRSF	3.05%	0.00426
100	LXR_DR4	2.22%	0.00222
101	NFMUE1	3.05%	0.00187
102	OSF2	1.66%	0.00166
103	MAX	0.55%	0.00154
104	ER	6.65%	0.00153
105	EGR	6.09%	0.00152
106	CDX2	0.55%	0.00121
107	GATA4	0.55%	0.00105
108	RORA2	1.39%	0.00049
109	STAT4	1.39%	0.00007
