NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	47	0.78320366	2.8123899	0.0	0.0	0.0	1159	tags=43%, list=8%, signal=46%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Details ...	34	0.72009516	2.4068284	0.0	0.0	0.0	980	tags=35%, list=7%, signal=38%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	Details ...	22	0.69691813	2.0826032	0.0	0.0027330178	0.007	1328	tags=45%, list=9%, signal=50%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	Details ...	25	0.6562616	2.011136	0.0	0.0037643195	0.013	97	tags=24%, list=1%, signal=24%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	39	0.5701439	1.952784	0.0	0.0044563245	0.019	3373	tags=49%, list=23%, signal=63%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	66	0.5059615	1.9319735	0.0	0.0052313805	0.026	552	tags=15%, list=4%, signal=16%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	Details ...	42	0.54734087	1.9191895	0.0	0.004981385	0.029	1264	tags=29%, list=9%, signal=31%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	Details ...	33	0.57240623	1.8598495	0.0020120724	0.008415704	0.056	1046	tags=24%, list=7%, signal=26%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	17	0.58542943	1.6094712	0.017204301	0.111150764	0.581	2348	tags=59%, list=16%, signal=70%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	83	0.39547494	1.5841674	0.006521739	0.12354457	0.649	5978	tags=78%, list=40%, signal=130%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM	Details ...	32	0.47063062	1.5360812	0.022869023	0.16404706	0.791	1328	tags=31%, list=9%, signal=34%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	52	0.41044313	1.4991033	0.030674847	0.19897282	0.867	3338	tags=33%, list=23%, signal=42%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	52	0.40663892	1.4942945	0.020449897	0.19055735	0.877	3475	tags=38%, list=23%, signal=50%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	Details ...	59	0.3961955	1.4677038	0.021231422	0.21665315	0.926	2350	tags=29%, list=16%, signal=34%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	Details ...	39	0.41472638	1.442871	0.036585364	0.2414422	0.957	401	tags=15%, list=3%, signal=16%	
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	Details ...	16	0.51465607	1.434115	0.08167331	0.24127385	0.963	422	tags=19%, list=3%, signal=19%	
