NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	35	-0.77293706	-2.601204	0.0	0.0	0.0	1833	tags=71%, list=12%, signal=81%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	121	-0.5291077	-2.2348537	0.0	0.0	0.0	2247	tags=40%, list=15%, signal=47%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	33	-0.6692926	-2.2019207	0.0	2.6241134E-4	0.001	1833	tags=42%, list=12%, signal=48%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	Details ...	89	-0.5562693	-2.2009594	0.0	1.968085E-4	0.001	1913	tags=39%, list=13%, signal=45%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	27	-0.6652304	-2.0562472	0.0	6.509427E-4	0.004	1624	tags=48%, list=11%, signal=54%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	43	-0.57785857	-2.0109992	0.0	8.2927395E-4	0.006	3124	tags=47%, list=21%, signal=59%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	22	-0.6435935	-1.9897313	0.0	0.0012955096	0.011	3124	tags=68%, list=21%, signal=86%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM	Details ...	138	-0.46198094	-1.9565566	0.0	0.0017970649	0.017	1913	tags=32%, list=13%, signal=36%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE	Details ...	27	-0.5567914	-1.7653697	0.0	0.01570083	0.157	1913	tags=26%, list=13%, signal=30%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	27	-0.5502616	-1.7234739	0.007677543	0.024041966	0.258	1302	tags=33%, list=9%, signal=36%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	122	-0.40783018	-1.7060349	0.0	0.026492985	0.296	3996	tags=46%, list=27%, signal=62%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	42	-0.48673522	-1.6803663	0.0019723866	0.031721156	0.374	5353	tags=76%, list=36%, signal=119%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	Details ...	33	-0.50485903	-1.6695874	0.005628518	0.03274836	0.409	2921	tags=45%, list=20%, signal=56%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	100	-0.409544	-1.6612233	0.0018281536	0.033032537	0.432	4260	tags=42%, list=29%, signal=59%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Details ...	45	-0.47272	-1.6398565	0.0019120459	0.03705856	0.487	2218	tags=33%, list=15%, signal=39%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	41	-0.4684888	-1.6218305	0.013565891	0.041420054	0.54	4672	tags=54%, list=32%, signal=78%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	43	-0.46934918	-1.6065947	0.0038986355	0.044824827	0.59	3199	tags=47%, list=22%, signal=59%	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Details ...	17	-0.5445428	-1.5169991	0.04255319	0.08648939	0.836	2170	tags=41%, list=15%, signal=48%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	44	-0.42571154	-1.5028578	0.025896415	0.09178396	0.878	2332	tags=36%, list=16%, signal=43%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	56	-0.40673327	-1.5015938	0.015065913	0.087747514	0.88	5013	tags=63%, list=34%, signal=94%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE	Details ...	15	-0.551593	-1.4760183	0.0671785	0.10266943	0.932	392	tags=33%, list=3%, signal=34%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM	Details ...	24	-0.4710735	-1.4387678	0.06476191	0.12933457	0.972	2401	tags=42%, list=16%, signal=50%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	Details ...	42	-0.41165167	-1.4142692	0.047244094	0.14629808	0.983	3342	tags=31%, list=23%, signal=40%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	37	-0.39306235	-1.3271956	0.09505703	0.25363842	0.998	1914	tags=19%, list=13%, signal=22%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Details ...	75	-0.3402333	-1.3188726	0.059925094	0.2564651	0.998	3853	tags=35%, list=26%, signal=47%	
