category	-log10(pvalue)	zscore	ratio	molecules	direction
Pulmonary Fibrosis Idiopathic Signaling Pathway	4.24	0.99	0.614	ACTA1, ACTA2, ACTB, ACTC1, ACVR1, ACVR2A, ADAM10, ADAMTS1, AEBP2, AJUBA, AKT1, AKT2, AKT3, BAX, BMPR2, CAV1, CCN2, CCND1, CDH2, COL1A2, COL20A1, COL3A1, COL4A1, COL4A2, COL5A2, COL5A3, COL6A3, COL7A1, CTNNB1, EDN1, EGFR, EGR1, EIF4EBP1, EIF4EBP2, EPHB3, EZH2, F2, F2R, FGF18, FGF2, FGFR2, FGFRL1, FOXO1, FOXO4, FZD7, GNA13, HES1, HRAS, IL17RA, IL6, IL6ST, ITGAV, ITGB1, JARID2, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK3, MAPK8, MMP14, MRAS, MTF2, MTOR, NFKB1, NOTCH1, NOTCH3, NRAS, PDGFA, PDGFB, PDGFC, PDGFRA, PEX13, PIK3CB, PIK3R1, PIK3R3, PINK1, PRKN, PTK2, RALA, RELA, RHOA, ROCK1, RPS6KA2, RPS6KA5, RRAS, SMAD3, SMAD4, SRF, STAT3, STAT6, STK38, TGFA, TGFB1, TGFB2, TGFB3, TGFBR2, TP53, WNT9A, WWTR1, YAP1, YY1		positive
Germ Cell-Sertoli Cell Junction Signaling	3.41	0	0.632	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, AFDN, AKT1, BCAR1, CDH2, CFL2, CTNNA1, CTNNB1, EPN2, FER, FNBP1, HRAS, ITGA3, ITGA6, ITGB1, KEAP1, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NECTIN2, NECTIN3, NRAS, PAK4, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, SORBS1, TGFB1, TGFB2, TGFB3, TGFBR2, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1, VCL, ZYX		no direction
Gα12/13 Signaling	3.19	-1.414	0.65	AKT1, AKT2, AKT3, ARHGEF1, CDH10, CDH15, CDH17, CDH2, CDH23, CDH5, CTNNB1, F2, F2R, F2RL1, GNA13, HRAS, IKBKB, IKBKG, JUN, KRAS, LPAR4, LPAR6, MAP2K1, MAP2K7, MAP3K1, MAP3K5, MAPK12, MAPK3, MAPK7, MAPK8, MEF2A, MEF2C, MEF2D, MRAS, MYL1, MYL4, MYL9, MYLPF, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RASA1, RELA, RHOA, ROCK1, RRAS		negative
Senescence Pathway	2.83	-2.294	0.578	ACVR1, ACVR2A, AKT1, AKT2, AKT3, ANAPC13, ANAPC2, ANAPC5, ATF3, BHLHE40, BMPR2, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CCND1, CCND3, CCNE2, CDC16, CDC23, CDC25A, CDKN1A, CHP1, DLAT, DLD, DMTF1, E2F6, EIF4EBP1, ELF1, ETS1, ETS2, EZH2, FOXO4, GADD45A, GADD45G, HBP1, HIPK2, HRAS, IKBKB, IKBKG, IL6, IRF3, ITPR2, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK7, MAPKAPK2, MAPKAPK3, MCU, MRAS, MTOR, NF1, NFAT5, NFATC1, NFATC2, NFKB1, NRAS, PDHA1, PDK1, PDK4, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PPP3CA, PPP3CB, PPP3R1, RALA, RASSF5, RBL2, RING1, RNF2, RPS6KA5, RRAS, SMAD3, SMAD4, SQSTM1, STING1, TGFB1, TGFB2, TGFB3, TGFBR2, TP53, TRAF6, ZFP36L1		negative
Glioma Invasiveness Signaling	2.52	-1.4	0.703	CD44, F2R, FNBP1, HRAS, ITGAV, KRAS, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, TIMP2, TIMP3		negative
Semaphorin Neuronal Repulsive Signaling Pathway	2.43	-1.342	0.623	AKT1, AKT2, AKT3, ARHGEF12, CD44, CFL2, ERBB2, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPT, MPRIP, MYL1, MYL4, MYL9, MYLPF, NRP1, NRP2, PAK4, Pde4d, PIK3CB, PIK3R1, PIK3R3, PLXNB1, PRKACA, PRKAR1A, PRKAR2B, PRKG1, RHOA, RND1, ROCK1, RRAS, SEMA3A, SEMA3F, SEMA4D, SEMA6A, SEMA6D, SMC3, TP53, VCAN		negative
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	2.33	-0.75	0.587	AKT1, AKT2, AKT3, CDH2, EGFR, EGR1, ERBB2, ETS1, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, FGFR2, FGFRL1, FOXO1, HRAS, IKBKB, IKBKG, IL6, IL6R, JUN, KRAS, LTB, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK3, MAPK8, MEST, MET, MRAS, MTOR, NFKB1, NGFR, NRAS, PARD6G, PDGFA, PDGFB, PDGFC, PDGFRA, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RELA, RHOA, RRAS, SMAD3, SMAD4, SNAI2, STAT3, TGFB1, TGFB2, TGFB3, TGFBR2, TNFRSF11B, TNFRSF1B, TNFSF12, TWIST1, WWTR1, YAP1, ZEB1, ZEB2		negative
Acute Phase Response Signaling	2.3	0	0.594	AKT1, AKT2, AKT3, C2, C3, CFB, F2, HNRNPK, HP, HRAS, IKBKB, IKBKG, IL1R1, IL1RAP, IL33, IL6, IL6R, IL6ST, IRAK1, ITIH4, JUN, KRAS, LBP, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, MTOR, MYD88, NFKB1, NFKBIA, NFKBIB, NGFR, NRAS, OSMR, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RBP3, RBP4, RELA, RRAS, SERPINF1, SOCS2, SOCS3, SOCS7, STAT3, TF, TNFRSF11B, TNFRSF1B, TRAF2, TRAF6, TTR		no direction
Regulation of Cellular Mechanics by Calpain Protease	2.29	-0.943	0.667	ACTN2, ACTN4, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CAST, CCND1, CCND3, CCNE2, EGFR, EZR, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAPK3, MRAS, NRAS, PTK2, RALA, RRAS, TLN2, VCL		negative
FAT10 Cancer Signaling Pathway	2.27	-0.2	0.684	ACVR1, ACVR2A, AKT1, AKT2, AKT3, BMPR2, CTNNB1, IKBKB, IKBKG, IL6, NFKB1, NFKBIA, NFKBIB, NGFR, PCNA, RELA, SMAD3, SMAD4, STAT3, TGFB1, TGFB2, TGFB3, TGFBR2, TNFRSF11B, TNFRSF1B, TP53		negative
PI3K/AKT Signaling	2.24	0.59	0.586	AKT1, AKT2, AKT3, CCND1, CDKN1A, CSF2RB, CTNNB1, EIF4EBP1, EPM2A, FOXO1, GAB2, GDF15, GHR, GYS1, HRAS, HSP90AA1, IKBKB, IKBKG, IL12RB2, IL17RA, IL17RC, IL17RD, IL17RE, IL1R1, IL4R, IL6R, IL6ST, INPP5K, INPPL1, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAP3K5, MAPK3, MAPK8IP1, MCL1, MRAS, MTOR, NFKB1, NFKBIA, NFKBIB, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PTGS2, RALA, RELA, RRAS, THEM4, TP53, TSC1, TSC2, YWHAB, YWHAG, YWHAZ		positive
