category	functions	disease	pvalue	state	zscore	Notes	bias_zscore	molecules	no_molecules
Skeletal and Muscular System Development and Function	morphology	Morphology of muscle	7.33e-09	 	0	 	0	IGFBP4, ETV1, THRA, CNR1, ATP2A1, HADHA, INPPL1, TLN2, ITGA7, SCYL1, MYOF, RYR1, INPP5K, SPP1, SGCB, FBN1, CAV3, USP14, IFT88, CTNNB1, ADAM19, AR, NRAS, LPL, OPA1, Hrc, FST, SSPN, BAX, EFEMP1, SLC6A6, MCOLN1, TNFSF12, ACVR2A, IL6, FGFRL1, MB, COLQ, DUSP1, ITGB1, PFKM, DGKZ, SNTA1, FOXO1, JPH1, SIX1, MYCBP2, UBR1, NTF3, PPP3CA, GAA, PLEC, SRF, SLC2A4, MYLPF, MAML1, CAST, MYOG, Meg3, COQ8A, ULK2, MMP14, TGFB1, CHRNE, PRKAA1, NEB, LMNA, MYF5, MYH3, HIF1AN, SGCA, PPARGC1A, DICER1, CACNB1, CKM, FLNC, HSD11B1, Cdkn1c, TNNT1, PLA2G4A, BACE1, ESR1, DMD, HDAC5, ALS2, MYH1, APOBEC2, HSPB8, H6PD, IKBKB, IGFBP5, ANGPTL2, MYOD1, CFL2, PPARD, SKI, RPTOR, EPG5, HACD1, ACTA1, PRKAB2, USP19, TRAF2, AKT1, PRKAB1, SYNM, PIK3R1, GPCPD1, MYH4, TRIO, CDKN1A, MET, HDAC4, mir-1, TRIM63, LAMA2, NFKB1, MTOR, MYF6, PPP3CB, ADGRG1, AKT2, HEYL, PAX7, RELA, SCYL3, CAV1, ATF4, NGFR, EGR3, CKMT2, ILF3, VDR, LBX1, SERP1, DAG1, TTN, INHBB	138
Organ Morphology, Skeletal and Muscular System Development and Function	morphology	Morphology of skeletal muscle	7.54e-09	 	0	 	0	IGFBP4, ETV1, THRA, CNR1, ATP2A1, HADHA, INPPL1, TLN2, ITGA7, SCYL1, MYOF, INPP5K, RYR1, SPP1, SGCB, CAV3, FBN1, USP14, CTNNB1, ADAM19, AR, NRAS, LPL, OPA1, Hrc, SSPN, FST, BAX, EFEMP1, SLC6A6, MCOLN1, TNFSF12, ACVR2A, IL6, FGFRL1, MB, DUSP1, ITGB1, PFKM, DGKZ, SNTA1, FOXO1, SIX1, MYCBP2, UBR1, NTF3, GAA, PPP3CA, PLEC, SRF, SLC2A4, MYLPF, MAML1, MYOG, Meg3, COQ8A, MMP14, TGFB1, CHRNE, PRKAA1, LMNA, MYF5, HIF1AN, MYH3, SGCA, PPARGC1A, CACNB1, CKM, FLNC, HSD11B1, Cdkn1c, TNNT1, ESR1, DMD, PLA2G4A, BACE1, ALS2, MYH1, APOBEC2, HSPB8, H6PD, IKBKB, IGFBP5, ANGPTL2, MYOD1, CFL2, PPARD, SKI, EPG5, HACD1, ACTA1, PRKAB2, USP19, TRAF2, AKT1, SYNM, PIK3R1, GPCPD1, MYH4, CDKN1A, TRIO, MET, mir-1, TRIM63, LAMA2, MTOR, MYF6, PPP3CB, ADGRG1, AKT2, HEYL, PAX7, RELA, SCYL3, CAV1, ATF4, CKMT2, EGR3, NGFR, ILF3, LBX1, SERP1, TTN, DAG1, INHBB	125
Organ Development, Skeletal and Muscular System Development and Function	function	Function of skeletal muscle	2.41e-08	 	-0.629	 	-0.64	IGFBP4, KCNJ2, PRKAA1, THRA, NEB, CNR1, ATP2A1, LMNA, ITGA7, MYF5, SCYL1, HIF1AN, MYH3, SGCA, PPARGC1A, CACNB1, INPP5K, RYR1, CKM, FLNC, CBLB, HSD11B1, Cdkn1c, TNNT1, SPP1, ESR1, DMD, BDNF, SGCB, CAV3, MYH1, APOBEC2, USP14, H6PD, IKBKB, IGFBP5, ANGPTL2, PPARD, AR, SKI, EPG5, HACD1, OPA1, Hrc, SSPN, FST, PVALB, SRL, PRKAB2, USP19, TRAF2, EFEMP1, SLC6A6, AKT1, MCOLN1, TNFSF12, ACVR2A, SYNM, PIK3R1, DIO2, GPCPD1, HOMER1, MYH4, DUSP1, ITGB1, CDKN1A, MET, DGKZ, TRIM63, JPH1, FOXO1, LAMA2, SIX1, MTOR, UBR1, NTF3, GAA, AKT2, HEYL, PLEC, ATF4, CKMT2, SRF, SLC2A4, MAML1, MYOG, LBX1, TTN, INHBB, BGN, MMP14	91
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	morphology	Morphology of muscle cells	3.49e-05	 	0	 	0	PRKAA1, NEB, INPPL1, LMNA, ITGA7, MYF5, SCYL1, MYH3, SGCA, PPARGC1A, CACNB1, RYR1, FLNC, HSD11B1, Cdkn1c, TNNT1, SPP1, DMD, PLA2G4A, CAV3, ALS2, APOBEC2, CTNNB1, IFT88, H6PD, CFL2, AR, SKI, NRAS, RPTOR, EPG5, OPA1, ACTA1, FST, PRKAB2, SLC6A6, AKT1, TNFSF12, PRKAB1, SYNM, PIK3R1, IL6, COLQ, MYH4, DUSP1, TRIO, CDKN1A, PFKM, DGKZ, mir-1, TRIM63, SNTA1, JPH1, LAMA2, NFKB1, PPP3CB, ADGRG1, PPP3CA, GAA, AKT2, HEYL, RELA, PAX7, SCYL3, PLEC, CAV1, ATF4, MAML1, ILF3, VDR, Meg3, DAG1, ULK2, MMP14	74
Skeletal and Muscular System Development and Function	mass	Mass of muscle	3.61e-05	 	0	 	0	IGFBP4, THRA, PRKAA1, CNR1, MYH3, HIF1AN, SGCA, PPARGC1A, DICER1, CACNB1, INPP5K, CKM, FLNC, HSD11B1, Cdkn1c, SPP1, DMD, ESR1, SGCB, MYH1, APOBEC2, USP14, H6PD, IGFBP5, ANGPTL2, AR, PPARD, SKI, OPA1, HACD1, Hrc, SSPN, FST, USP19, EFEMP1, TRAF2, SLC6A6, MCOLN1, TNFSF12, ACVR2A, SYNM, GPCPD1, MYH4, ITGB1, CDKN1A, DGKZ, FOXO1, TRIM63, SIX1, MTOR, UBR1, NTF3, GAA, ATF4, SRF, CKMT2, SLC2A4, CAST, MYOG, TTN, INHBB	61
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	morphology	Morphology of skeletal muscle cells	4.49e-05	 	0	 	0	ITGA7, LMNA, SCYL1, MYF5, MYH3, SGCA, PPARGC1A, CACNB1, RYR1, FLNC, HSD11B1, Cdkn1c, TNNT1, PLA2G4A, DMD, CAV3, ALS2, APOBEC2, H6PD, CFL2, SKI, EPG5, ACTA1, FST, PRKAB2, SLC6A6, AKT1, SYNM, PIK3R1, IL6, MYH4, DUSP1, TRIO, CDKN1A, PFKM, TRIM63, LAMA2, PPP3CB, GAA, PPP3CA, AKT2, HEYL, PAX7, RELA, SCYL3, PLEC, CAV1, MAML1, ILF3, Meg3, MMP14	51
Organ Development, Organ Morphology, Skeletal and Muscular System Development and Function	mass	Mass of skeletal muscle	7.84e-05	 	0	 	0	IGFBP4, THRA, PRKAA1, CNR1, MYH3, HIF1AN, SGCA, PPARGC1A, CACNB1, INPP5K, CKM, FLNC, HSD11B1, Cdkn1c, SPP1, DMD, ESR1, SGCB, MYH1, USP14, APOBEC2, H6PD, IGFBP5, ANGPTL2, AR, PPARD, SKI, OPA1, HACD1, Hrc, SSPN, FST, USP19, EFEMP1, TRAF2, SLC6A6, MCOLN1, TNFSF12, ACVR2A, SYNM, GPCPD1, MYH4, ITGB1, CDKN1A, DGKZ, FOXO1, TRIM63, SIX1, MTOR, UBR1, NTF3, GAA, ATF4, SRF, CKMT2, SLC2A4, MYOG, TTN, INHBB	59
Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of muscle	0.000277	 	0	 	0	ETV1, TGFB1, CHRNE, ATP2A1, HADHA, TLN2, ITGA7, MYF5, SGCA, PPARGC1A, MYOF, CACNB1, RYR1, FLNC, HSD11B1, Cdkn1c, ESR1, DMD, BACE1, SGCB, HDAC5, FBN1, CAV3, MYH1, ALS2, APOBEC2, HSPB8, H6PD, ADAM19, MYOD1, CFL2, SKI, LPL, ACTA1, BAX, FST, TNFSF12, SYNM, IL6, FGFRL1, MB, MYH4, TRIO, CDKN1A, MET, PFKM, HDAC4, JPH1, LAMA2, MYF6, MYCBP2, NTF3, GAA, HEYL, PAX7, SCYL3, PLEC, CAV1, NGFR, EGR3, MYLPF, ILF3, MYOG, Meg3, SERP1, COQ8A, TTN, MMP14	68
Organ Morphology, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function	abnormal morphology	Abnormal morphology of skeletal muscle	0.000467	 	0	 	0	ETV1, TGFB1, CHRNE, ATP2A1, HADHA, TLN2, ITGA7, MYF5, SGCA, PPARGC1A, MYOF, CACNB1, RYR1, FLNC, HSD11B1, Cdkn1c, DMD, BACE1, ESR1, SGCB, CAV3, FBN1, ALS2, MYH1, APOBEC2, H6PD, HSPB8, ADAM19, MYOD1, CFL2, SKI, LPL, ACTA1, BAX, FST, SYNM, IL6, FGFRL1, MB, MYH4, TRIO, CDKN1A, MET, PFKM, LAMA2, MYF6, MYCBP2, NTF3, GAA, HEYL, PAX7, SCYL3, PLEC, CAV1, EGR3, NGFR, MYLPF, ILF3, MYOG, Meg3, SERP1, COQ8A, TTN, MMP14	64
Skeletal and Muscular System Development and Function	size	Size of muscle	0.00189	 	0	 	0	AKT1, PRKAA1, PRKAB1, PIK3R1, ITGA7, LMNA, SCYL1, MYF5, MYH4, DUSP1, RYR1, CDKN1A, MET, FLNC, mir-1, Cdkn1c, TNNT1, TRIM63, DMD, LAMA2, CAV3, NFKB1, APOBEC2, IFT88, IKBKB, AKT2, HEYL, PLEC, AR, ATF4, EPG5, MAML1, VDR, OPA1, FST, LBX1, ULK2, MMP14, PRKAB2	39
