ENSEMBL	ENTREZID	SYMBOL	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000001627	15982	Ifrd1	interferon-related developmental regulator 1	6104.25487233427	2.84001038490114	0.0576749664544698	49.221970785161	0	0
ENSMUSG00000026628	11910	Atf3	activating transcription factor 3	2044.13265549035	4.52005899167429	0.100755664989163	44.6491382292455	0	0
ENSMUSG00000066361	16625	Serpina3c	serine (or cysteine) peptidase inhibitor, clade A, member 3C	3902.34202785369	-4.03410872502819	0.0970242194957803	-41.4810438208436	0	0
ENSMUSG00000042406	11911	Atf4	activating transcription factor 4	6887.20980834918	1.99049745284325	0.0536428851984859	37.0998488882069	2.82522994983e-301	1.62457785190099e-297
ENSMUSG00000023034	15370	Nr4a1	nuclear receptor subfamily 4, group A, member 1	786.452316414941	4.75241830981895	0.130629956650863	35.830429603165	3.71063146800139e-281	1.70696468791e-277
ENSMUSG00000032515	215418	Csrnp1	cysteine-serine-rich nuclear protein 1	951.644976404005	3.41888630132728	0.0954122078861487	35.6701673403098	1.14722543716352e-278	4.39788871336635e-275
ENSMUSG00000056952	381801	Tatdn2	TatD DNase domain containing 2	2566.20562168031	2.07554151519173	0.0590609246797407	35.1225747248184	3.0492724612882e-270	1.00194736974414e-266
ENSMUSG00000028341	18124	Nr4a3	nuclear receptor subfamily 4, group A, member 3	708.330335953131	7.16659750040614	0.181609549325433	34.7447476209963	1.66375068933683e-264	4.78349120067955e-261
ENSMUSG00000042429	11539	Adora1	adenosine A1 receptor	3272.13963520286	-3.06455254575711	0.0900687383396637	-33.9878662457816	3.36639963037724e-253	8.6033953220341e-250
ENSMUSG00000005413	15368	Hmox1	heme oxygenase 1	24916.926081776	2.91659543879566	0.0859962842093066	33.911682893425	4.48126998645441e-252	1.03073690958438e-248
ENSMUSG00000029201	22235	Ugdh	UDP-glucose dehydrogenase	7634.19871164492	2.48078055486816	0.0770766617498325	32.1775799615826	3.63447705548818e-227	7.59969152302578e-224
ENSMUSG00000012428	117167	Steap4	STEAP family member 4	34880.8844895009	-2.62592494525005	0.0819256217792202	-32.0529483595029	1.99719790223295e-225	3.82812907910501e-222
ENSMUSG00000019577	27273	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	16388.7368757471	2.91226115366131	0.091005882021837	31.9939221317352	1.32474803870051e-224	2.34388689524234e-221
ENSMUSG00000019987	11846	Arg1	arginase, liver	426.022371677584	5.68860261559669	0.166852027706643	31.3592648631774	7.27408692717801e-216	1.19508052437158e-212
ENSMUSG00000038894	384783	Irs2	insulin receptor substrate 2	4726.33920878549	2.5918778947437	0.0827717040243681	31.2997925984016	4.69672597786742e-215	7.20195961446191e-212
ENSMUSG00000039384	63953	Dusp10	dual specificity phosphatase 10	1641.32124924448	2.59254609088491	0.0841657991819078	30.7621812605514	8.40368269089128e-208	1.20808190983244e-204
ENSMUSG00000026826	18227	Nr4a2	nuclear receptor subfamily 4, group A, member 2	384.764949215877	4.40046953365888	0.140457994646557	30.5164671512961	1.57593149542396e-204	2.13223531330862e-201
